lp_weight,value_musd,cvar_kusd_h,imbalance_gwh,path
0.0,865.7654188299147,447.8524580085721,11250.95539154396,No-text LP-anchor path
0.1,868.1391771370236,451.3296041581188,11467.828421695158,No-text LP-anchor path
0.25,869.124373877725,459.9408666111144,11844.64678132119,No-text LP-anchor path
0.5,867.752712096132,479.9873898618634,12532.950507686475,No-text LP-anchor path
0.75,862.979451870644,501.9986866180475,13289.286202929665,No-text LP-anchor path
1.0,854.9711619617646,525.7194332241977,14110.32249184068,No-text LP-anchor path
0.0,865.7654188299147,447.8524580085721,11250.95539154396,LLM cloud-rule LP-anchor path
0.1,873.6057347485042,448.6935323409422,11357.468860049672,LLM cloud-rule LP-anchor path
0.25,881.4068247928445,453.4317675485265,11596.426739479111,LLM cloud-rule LP-anchor path
0.5,889.4380349150238,467.7486564645354,12094.10200422927,LLM cloud-rule LP-anchor path
0.75,891.72964178517,484.62490254024647,12706.56933402009,LLM cloud-rule LP-anchor path
1.0,888.1564081426939,503.5006668543496,13436.333474063356,LLM cloud-rule LP-anchor path
