issue_local_date,llm_cloud_severity,llm_irradiance_reduction_risk,llm_storm_risk,llm_rain_risk,llm_fog_visibility_risk,llm_wind_risk,llm_heat_risk,llm_smoke_dust_risk,llm_morning_risk,llm_afternoon_risk,llm_evening_risk,llm_all_day_risk,llm_rule_cloud_score,llm_rule_storm_score,llm_rule_rain_score,llm_rule_wind_score,llm_rule_fog_visibility_score,llm_rule_heat_score,llm_rule_fire_smoke_score,llm_confidence,llm_overall_risk_score,llm_text_product_count,llm_affected_hours,llm_short_reason,llm_feature_source
2021-12-31,0.2,0.2,0.0,0.0,0.3,0.4,0.0,0.0,0.3,0.2,0.2,0.2,0.3,0.0,0.0,0.4,0.3,0.0,0.0,0.8666666666666667,0.4,6.0,afternoon; all_day; morning,"Clear skies, dry air, no precipitation or clouds; only minor wind risk in mountains.; Lingering clouds/fog in interior, breezy offshore winds, otherwise dry and clearing.; Partly cloudy afternoon with breezy winds, otherwise mostly clear and dry.",deepseek_v4_pro_json_output
2022-01-01,0.3,0.2,0.0,0.2,0.0,0.3,0.0,0.0,0.1,0.2,0.1,0.0,0.3,0.0,0.2,0.5,0.1,0.0,0.0,0.6799999999999999,0.5,26.0,afternoon; all_day; morning,"Clear skies, dry air, weak Santa Ana winds with gusts 30-45 mph, patchy fog possible late Monday/Tuesday.; Clear skies, dry, but breezy winds; no significant irradiance reduction.; Dry, clear conditions with only patchy morning fog; no significant irradiance reduction expected.; Increasing clouds Sunday afternoon ahead of rain system, but mostly sunny Saturday and early Sunday.; brief reason",deepseek_v4_pro_json_output
2022-01-02,0.6,0.5,0.2,0.4,0.6,0.4,0.1,0.0,0.6,0.4,0.3,0.3,0.6,0.2,0.4,0.5,0.6,0.1,0.0,0.8,0.6,27.0,all_day; morning,"Clear skies, dry air, no significant irradiance reduction; some offshore winds but no cloud/storm/fog impact.; Light rain and increased clouds Monday morning into afternoon, mainly North Bay and Bay Area.; Low clouds possible morning, high clouds increasing, rain and wind tonight into Wednesday, breezy winds.; Morning fog and patchy dense fog in SJV; slight chance of light precip north; otherwise mostly clear.; Mostly dry with patchy low clouds/fog possible, gusty northerly winds Tue-Thu, slight rain chance north Fri.",deepseek_v4_pro_json_output
2022-01-03,0.8,0.9,0.9,0.7,0.8,0.9,0.0,0.0,0.8,0.9,0.7,0.8,0.9,0.9,0.8,0.9,0.8,0.0,0.0,0.8,0.9,26.0,all_day; morning,"High clouds and gusty winds, slight rain chance Friday, low irradiance impact.; Light precipitation possible in Merced/Mariposa late tonight into early Tuesday morning; dry otherwise. Gusty winds in Mojave Desert Slopes Tuesday.; Patchy morning low clouds/fog possible west of mountains, breezy winds over mountains/deserts, otherwise mostly sunny and dry.; Strong storm with heavy snow, rain, high winds, and low visibility causing significant irradiance reduction.; Weak cold front with light rain and clouds today into Tuesday, then drying midweek.",deepseek_v4_pro_json_output
2022-01-04,0.4,0.4,0.1,0.3,0.3,0.4,0.0,0.0,0.3,0.4,0.3,0.3,0.4,0.1,0.3,0.5,0.4,0.0,0.0,0.8,0.5,24.0,all_day; morning,"Light showers and rain from weak systems, but drying midweek and weekend.; Mostly clear with some high clouds, gusty winds, and patchy morning fog; slight rain chance Friday.; Mostly sunny with patchy morning low clouds and thin high clouds; light winds except locally gusty in passes.; Scattered clouds, potential morning fog, windy mountains; overall low irradiance reduction risk.; Scattered light rain and mountain snow showers, mostly cloudy, light winds.",deepseek_v4_pro_json_output
2022-01-05,0.6,0.5,0.1,0.3,0.5,0.3,0.0,0.0,0.5,0.3,0.3,0.3,0.6,0.0,0.3,0.4,0.5,0.0,0.0,0.8,0.6,26.0,afternoon; all_day; morning,"Cloudy skies with light precipitation north, dry elsewhere; rain chances Friday.; Increasing clouds Friday, gusty winds today/Thu, marine layer clouds possible Fri-Sat.; Low stratus clouds and valley fog mornings, gusty winds in Kern mountains, light rain north Friday.; Mostly clear with weak offshore winds, slight cloud patches offshore, gusty winds in passes but minimal irradiance impact.; Patchy fog and low clouds Thursday morning; light rain possible Friday morning; otherwise dry with some mid-high clouds.",deepseek_v4_pro_json_output
2022-01-06,0.7,0.7,0.2,0.3,0.8,0.3,0.0,0.0,0.8,0.7,0.6,0.7,0.8,0.2,0.4,0.3,0.9,0.0,0.0,0.76,0.9,24.0,all_day; morning,"Extensive fog and low clouds slow to clear, limiting sun; light rain and mountain snow tonight into Friday.; Increasing coastal low clouds and fog, onshore flow, possible mid/high clouds Monday.; Patchy low clouds and fog mainly morning, breezy winds Friday, low rain chance next week.; Robust low clouds and patchy fog, light rain Friday morning, clearing afternoon.; Widespread low stratus deck, some areas overcast all day, fog potential, light precip chance Friday.",deepseek_v4_pro_json_output
2022-01-07,0.7,0.8,0.3,0.7,0.5,0.4,0.0,0.0,0.6,0.8,0.5,0.7,0.7,0.3,0.7,0.4,0.5,0.0,0.0,0.76,0.8,24.0,all_day; evening; morning,"Frontal system with moderate rain, clouds, possible thunderstorms, and breezy winds today; clearing evening.; Increasing mid/high clouds evening, marine layer stratus, gusty winds, slight rain chance Monday.; Lingering clouds and drizzle today, fog tonight and Saturday morning, then clearing. Weak rain Monday morning.; Morning coastal low clouds and fog, clearing later; slight precip chance Monday.; Patchy fog and low clouds in San Joaquin Valley, light precipitation near Yosemite, breezy winds in Kern mountains.",deepseek_v4_pro_json_output
2022-01-08,0.6,0.5,0.1,0.2,0.7,0.3,0.0,0.0,0.7,0.5,0.3,0.0,0.6,0.0,0.3,0.3,0.7,0.0,0.0,0.76,0.7,27.0,afternoon; morning,"Dense fog in Kern County mountains and San Joaquin Valley this morning, clearing later.; Extensive high clouds Monday will reduce irradiance, especially afternoon; offshore winds but no rain.; Extensive morning low clouds dissipating later, slight chance of light showers early next week.; Morning fog and low clouds, clearing by afternoon. Mid/high clouds possible Sun night-Mon.; Morning fog and some cloudiness, otherwise dry and mild.",deepseek_v4_pro_json_output
2022-01-09,0.4,0.3,0.1,0.1,0.4,0.6,0.2,0.0,0.4,0.2,0.1,0.1,0.6,0.1,0.1,0.7,0.4,0.3,0.0,0.82,0.7,25.0,all_day; morning,"Fair, dry, sunny with Santa Ana winds; no clouds, rain, or smoke; wind gusts 30-40 mph but no irradiance reduction.; High clouds Monday, clearing Tue-Wed; Santa Ana winds; warm temps.; Morning fog and some clouds Thursday; otherwise dry and clear.; Morning fog and some clouds, slight rain chance north, otherwise dry and mild.; Mostly clear with localized morning low clouds and fog; dry and mild.",deepseek_v4_pro_json_output
