slice,target,n_hours,unit,reference,llm,reference_rmse,llm_rmse,rmse_improvement_pct,reference_mae,llm_mae,mae_improvement_pct
All test hours,PV generation,8768,MW,MLP rule-core,MLP LLM cloud-rule,924.4186465773073,918.1583095598758,0.6772188164540663,545.9569766287559,534.9437242951697,2.0172381350619006
All test hours,Real-time price,8768,USD/MWh,Transformer rule-text,Transformer LLM rule,20.86198068027826,20.63565729147811,1.0848605042286492,11.653998267419544,11.464583236616695,1.6253222838756207
Solar hours,PV generation,5119,MW,MLP rule-core,MLP LLM cloud-rule,1206.5323131153973,1198.76215610974,0.6440073689857359,889.381268899021,873.2846031782265,1.8098723554995602
Solar hours,Real-time price,5119,USD/MWh,Transformer rule-text,Transformer LLM rule,23.937134224027435,23.93383619160152,0.013777891685141904,13.299672960611622,13.492529896240594,-1.4500878044154808
Extreme-event hours,PV generation,1584,MW,MLP rule-core,MLP LLM cloud-rule,985.7153783849387,995.2453060530913,-0.9668031844818186,578.6310762021354,582.0511989985752,-0.5910713988760885
Extreme-event hours,Real-time price,1584,USD/MWh,Transformer rule-text,Transformer LLM rule,31.539362762983483,31.257330877939157,0.894221887625883,12.97645733286771,12.74952614526601,1.7487915367078826
Extreme solar hours,PV generation,924,MW,MLP rule-core,MLP LLM cloud-rule,1288.4619277140275,1301.5875672026698,-1.0187060406146113,956.8628911777637,965.8494829227054,-0.9391723545554685
Extreme solar hours,Real-time price,924,USD/MWh,Transformer rule-text,Transformer LLM rule,39.14614149735613,38.961154470221686,0.4725549442642792,15.691450717408593,15.635162893203361,0.3587165088743763
High LLM cloud-risk hours,PV generation,2487,MW,MLP rule-core,MLP LLM cloud-rule,960.9397638840751,1011.8366827174532,-5.29657744910618,557.2763078526701,588.3175330890615,-5.570167760406188
High LLM cloud-risk hours,Real-time price,2487,USD/MWh,Transformer rule-text,Transformer LLM rule,22.515404513121947,22.059067211610728,2.0267781609043105,13.528711296672384,13.164937823837683,2.6888996657366584
High DA-RT spread hours,PV generation,2192,MW,MLP rule-core,MLP LLM cloud-rule,1153.9639729113796,1159.4347533068326,-0.47408589209683105,759.5367298079425,765.1395500056655,-0.7376628381276176
High DA-RT spread hours,Real-time price,2192,USD/MWh,Transformer rule-text,Transformer LLM rule,36.196614749824356,35.90653546140399,0.8013989441423468,21.70841041813379,21.723748768086956,-0.07065625560659342
